filter_i,filter_j,delta_mse,t_stat,p_value,significant
2,8,3.5728935365852972e-09,0.0241668624417788,0.4903598054433254,False
2,9,-4.2712137826583785e-08,-0.0548216299562077,0.5218596017768447,False
2,10,4.421071025717538e-06,0.603768996868751,0.2730000450040147,False
2,11,-1.4142468529598773e-08,-0.1059226851185612,0.5421779309099581,False
2,12,-6.013321751652256e-08,-0.3142959873108908,0.6233511936687939,False
2,13,3.1692707125330344e-08,0.2518963075964634,0.4005611465102287,False
2,14,3.746322363440413e-08,0.5249948442247659,0.2997946008837076,False
2,15,4.2630603047655313e-07,2.2816716085301927,0.0112565483029796,False
2,16,-3.364723397680791e-07,-2.4034191243894045,0.9918768345979592,False
2,17,8.128314448185847e-07,0.131087968882811,0.4478531341471434,False
2,18,3.91133625043949e-07,0.7712426712061531,0.2202834527143881,False
2,19,-6.024575327501225e-07,-4.74608472363128,0.9999989600551756,False
2,20,2.6263820473104715e-05,1.1401418582121878,0.1271164495811668,False
2,21,3.3492661088985194e-08,0.3380344757294113,0.3676693435391248,False
2,22,-6.006643360478847e-08,-0.2620061411516627,0.6033410836073498,False
2,23,-5.5719837632750575e-08,-1.0375989315376557,0.8502689766800237,False
2,24,1.4395837411029788e-07,2.4236533376513125,0.0076844695756495,False
2,25,0.0001946576230693,4.9449532698614425,3.820948677926006e-07,True
2,26,7.515795630297363e-08,0.1577217056449951,0.4373383799580674,False
2,27,-1.845330110938903e-08,-2.030404774586714,0.9788395409409808,False
2,28,-1.5876659986702183e-08,-1.7107178422708744,0.9564301604341884,False
2,29,5.914799316997232e-07,0.9999989288378726,0.1586580356835958,False
2,30,0.0001096974592655,5.546189024541996,1.4674948652674862e-08,True
2,31,-2.2209072358947424e-09,-0.1247969439467735,0.5496575850584675,False
2,32,-2.771435845261294e-07,-0.3145015838710495,0.6234292591344214,False
2,33,4.372796320240013e-05,3.645513325784463,0.0001335702413906,False
2,34,2.216607164484685e-08,0.920307529102922,0.1787083522229118,False
2,35,1.935558628929357e-07,0.5328097976015137,0.2970838597504039,False
3,3,-9.17115585252759e-07,-2.013714969686069,0.9779774792153052,False
3,4,-1.1715811751855654e-06,-0.4597050031485846,0.6771349691946946,False
3,5,3.0555170837942576e-08,0.9265964354448092,0.1770703844453537,False
3,6,-1.6322188045592156e-08,-0.3738101879684896,0.6457264042188768,False
3,7,2.2847233083211907e-07,0.6669629877783692,0.2523994920104561,False
3,8,3.269263082472662e-09,1.2647616577339418,0.1029814626595187,False
3,9,1.432419480806857e-07,0.3143516942067831,0.3766276538020539,False
3,10,-2.2526849718929043e-08,-0.3526443080230614,0.6378216672384283,False
3,11,6.972625669732224e-06,2.51885640145867,0.0058884453819173,False
3,12,-4.2104458808367435e-10,-0.3732364590659668,0.6455129436679814,False
3,13,-4.5668110715269005e-07,-0.5652833327509734,0.7140581461551567,False
3,14,-7.887077102530782e-10,-1.3375966617528492,0.9094828520081246,False
3,15,-4.995929892004369e-09,-0.3290287844152328,0.6289323159507338,False
3,16,0.0003233320603612,6.365388407230153,9.827573414650868e-11,True
3,17,1.914952747483767e-07,0.3628238609358557,0.3583690325731232,False
3,18,9.6088188001886e-06,1.6848272029967308,0.0460142104921326,False
3,19,6.657899689344049e-07,2.8452588627246267,0.0022197070136197,False
3,20,8.207083346256637e-10,0.0703432201872284,0.4719603881144311,False
3,21,2.519164752357028e-07,2.993422249670658,0.0013800415402745,False
3,22,6.047768863481906e-08,0.3807087930181137,0.3517105148126197,False
3,23,3.126798375774342e-08,0.9289608789838404,0.1764570180443815,False
3,24,-1.472398025725852e-07,-0.6511802630553467,0.7425333753407087,False
3,25,2.4487005134687934e-07,1.7715437071973117,0.0382383399816609,False
3,26,-1.8797815926063777e-07,-1.1036927954043416,0.8651340202908916,False
3,27,-2.707433623072575e-06,-0.1812829642668619,0.5719268784615932,False
3,28,-1.0453082950334649e-06,-0.1151252145659066,0.5458268218031521,False
3,29,1.666701194835696e-07,1.2697386372055357,0.1020919528218052,False
3,30,-5.365945526136784e-06,-0.6362141520048694,0.7376800568382806,False
3,31,2.9935709022765884e-08,1.571270567458252,0.058063205665021,False
3,32,-2.303055310903801e-07,-1.750495114405024,0.9599803450040226,False
3,33,8.093016731436364e-06,1.1383783054455818,0.1274841176141093,False
3,34,-1.639076799619943e-06,-0.9722853519921836,0.8345432437874741,False
3,35,3.422786107876164e-07,0.3844510091191479,0.3503229522887502,False
4,4,6.506296631414443e-05,4.599886864830427,2.118998355901944e-06,True
4,5,4.363038375032602e-09,0.6476002600645073,0.2586233144025056,False
4,6,1.0145320175070085e-06,0.7200880072974855,0.2357371600532712,False
4,7,7.739792806660262e-09,3.142888692766688,0.0008369565090276,False
4,8,0.0002786197583191,6.71999054978393,9.18814462407234e-12,True
4,9,-5.671352937497431e-06,-2.50194934126316,0.9938227686003156,False
4,10,-1.998877152686873e-08,-1.098738432011762,0.8640561552584614,False
4,11,-2.738423461323692e-07,-2.336188190707459,0.990257233789032,False
4,12,-4.12710399189109e-08,-1.4639102222119804,0.92838748305553,False
4,13,-4.0423639546816055e-08,-0.4128188652722153,0.6601294130293871,False
4,14,4.170579614992676e-08,4.3527229854936,6.73674331936777e-06,True
4,15,5.372384475776926e-05,2.5101688509612763,0.0060353046655204,False
4,16,2.885594767576549e-05,3.049662741348998,0.0011461169190787,False
4,17,8.575375431973953e-07,1.6863991600106625,0.0458627235195246,False
4,18,4.761714080814272e-05,3.915231428959949,4.52211729258416e-05,True
4,19,-5.133356140163414e-08,-0.176105888095238,0.5698942506429968,False
4,20,-1.166751317782655e-07,-1.720837206993329,0.9573565908519492,False
4,21,-3.2085317513974594e-08,-0.424063839972833,0.6642394211125988,False
4,22,2.243697235826403e-05,0.6785242965518762,0.2487212989200515,False
4,23,-4.239042894482736e-09,-1.928425268247096,0.9730959267088056,False
4,24,0.0001722505403449,5.640141683752331,8.5432223651694e-09,True
4,25,0.0003263538819737,7.364291193697757,9.047062551258692e-14,True
4,26,1.8816059309756383e-05,1.8657997796149208,0.0310377415171632,False
4,27,-4.5830383044176415e-08,-1.066223846753701,0.8568360840221967,False
4,28,-1.8192913842085545e-07,-2.302110392408516,0.989333395147108,False
4,29,-3.2023123708313506e-08,-0.7724529071207173,0.7800749825084667,False
4,30,4.8869951569940895e-05,3.5094326105260456,0.0002247376474175,False
4,31,6.517469591926783e-05,4.005723088397226,3.096060288352252e-05,True
4,32,0.0005500988918356,12.568794287567307,1.7875015230889084e-36,True
4,33,0.0001989504526136,6.765680294505641,6.7101912096512905e-12,True
4,34,-3.785613955642475e-08,-0.0572971033665397,0.5228456167835795,False
4,35,6.570873665623367e-05,3.8509028086481583,5.891798455839926e-05,True
5,5,3.2570088848160594e-08,1.6895966193653162,0.0455558262576086,False
5,6,3.1873757961875526e-06,0.6860208545476193,0.2463516369247689,False
5,7,1.4837906903153453e-08,0.8535543807563867,0.1966781035752993,False
5,8,-4.8375024874758317e-08,-1.531184684681314,0.9371348248547002,False
5,9,1.9001743112312402e-07,3.6693265900485135,0.0001217267403078,False
5,10,9.000127865199659e-10,0.0594955754755234,0.4762788186877372,False
5,11,0.0001400492037646,5.157462219716321,1.2565627210358885e-07,True
5,12,1.1607282246473004e-08,1.9300875663161532,0.0268009390846567,False
5,13,0.0001321169402217,4.893655297901909,4.965038654015509e-07,True
5,14,-5.331834884714227e-08,-3.390277812842689,0.9996506095956026,False
5,15,0.0001945816184161,6.411420462417242,7.275317629683505e-11,True
5,16,3.946926767639525e-07,1.5883693712237106,0.0561047154772052,False
5,17,5.225849122325599e-07,1.622567792665471,0.052344201361596,False
5,18,-9.83716017799452e-06,-1.4269465513807358,0.92319909438077,False
5,19,-1.0229025519947754e-06,-0.9221812900435902,0.8217806702259582,False
5,20,-9.86404870673141e-07,-1.407451817938722,0.92035003215613,False
5,21,-3.0713838139462273e-09,-1.40297808838714,0.9196850767601068,False
5,22,6.689388243330542e-08,4.249970415950525,1.0710105316307396e-05,True
5,23,7.374609367616358e-09,1.2564347712896062,0.1044822505546345,False
5,24,6.176605182872663e-08,0.6638480567373718,0.2533953776922586,False
5,25,-1.263627211756102e-07,-0.8480042315023038,0.801780076957896,False
5,26,-8.486840670229867e-06,-1.0607376359204077,0.8555927537601333,False
5,27,-1.5514233453473025e-08,-2.233151066829268,0.9872282108547196,False
5,28,-3.335120709380135e-06,-0.4086790414567397,0.6586114794403137,False
5,29,-4.1184614474332193e-07,-0.7528949130522824,0.7742416196895455,False
5,30,5.315055750543252e-05,2.733758444152742,0.0031319462033441,False
5,31,-3.640012735672826e-08,-1.838603463003832,0.9670101445412652,False
5,32,-1.2641022806292312e-07,-2.628313437019441,0.9957081628011788,False
5,33,2.3806443039120495e-07,3.0224920168714027,0.0012541749198285,False
5,34,7.890740505445137e-08,1.3908898519712494,0.0821326416194722,False
5,35,1.3576604942500126e-06,0.8794600328281436,0.1895781503177082,False
6,6,8.98533544386737e-05,2.562804641731594,0.0051930343573975,False
6,7,1.655672718925416e-07,1.7895011306623332,0.0367702263977456,False
6,8,2.22208251798861e-09,0.0799708459536372,0.4681303884515377,False
6,9,1.8401952672775226e-07,1.3911489687076608,0.0820933556760799,False
6,10,4.936801474286767e-07,1.5928082740310172,0.0556048991891537,False
6,11,-2.1715338860417432e-08,-0.216474711249003,0.5856906719907915,False
6,12,1.1807730260215977e-07,0.7619276159969305,0.2230534766938657,False
6,13,8.4152603108123e-08,1.849707269561216,0.0321809498979032,False
6,14,-1.752005651667332e-08,-0.0717532316966904,0.5286007041409997,False
6,15,1.6629401500267704e-07,1.0105225719813975,0.156125044331914,False
6,16,-1.4744003795641447e-09,-1.5831298657730066,0.9433007693734444,False
6,17,3.4354531663893795e-08,0.6467546029733151,0.2588969363551595,False
6,18,3.9076196117093787e-05,2.6165980212554354,0.0044419352110062,False
6,19,4.424476784947728e-08,1.295972558863243,0.0974955877847392,False
6,20,-4.69203314423794e-07,-0.9640357774977234,0.8324835752461179,False
6,21,4.311240263632499e-05,3.0902774631701924,0.0010004201749796,False
6,22,3.3391155739082024e-05,2.931310720097927,0.0016884713847385,False
6,23,8.064131407081732e-07,0.5352333007118025,0.2962455116895049,False
6,24,3.701997411553748e-05,1.8550501884448376,0.0317975959697901,False
6,25,-1.4525637936912974e-07,-1.0299529863276071,0.8484813652421676,False
6,26,-1.5984909396138394e-07,-0.3704005316270565,0.6444571432706931,False
6,27,-6.864531165717835e-09,-0.3688256454389371,0.6438703420024241,False
6,28,3.889579431870516e-07,1.972296445303558,0.0242907554044334,False
6,29,1.8909264554167748e-06,1.4663951697619282,0.0712736089015952,False
6,30,1.3368316176265438e-10,0.0142902147026592,0.4942992529055763,False
6,31,4.83672879525443e-09,0.074255375113186,0.4704037470665596,False
6,32,5.597367547238719e-08,0.254412202312431,0.3995891078345872,False
6,33,1.2474009054130876e-05,0.821026975412361,0.2058174919437482,False
6,34,1.0477528121555224e-05,0.9861418514368376,0.1620342418340712,False
6,35,1.0323684364266228e-05,1.0395011286254234,0.149288486857418,False
7,7,-1.992174780696132e-08,-0.5096796664836474,0.6948608771325395,False
7,8,4.5895472311485725e-08,2.126588392461272,0.0167296942976577,False
7,9,6.68260213387839e-07,0.6861073943437007,0.2463243525308077,False
7,10,7.794299676788796e-07,1.6309945759957143,0.0514490149880494,False
7,11,-3.039072282717825e-07,-0.6188864375115147,0.7320029434290103,False
7,12,4.04861168590287e-07,3.3944611403504394,0.0003440972671864,False
7,13,-1.6302232097586966e-07,-2.923293961640751,0.9982674440449838,False
7,14,3.1492508600905467e-10,0.0780774431285887,0.468883387947869,False
7,15,2.6530773311606026e-07,3.1981805409643096,0.0006919372934863,False
7,16,-6.084154335894709e-08,-0.8876589277075111,0.8126356516283193,False
7,17,-1.94140753251304e-07,-3.099240496150418,0.999029351593552,False
7,18,-2.1269359606890248e-08,-1.917920612283295,0.972436495149554,False
7,19,1.339582524906291e-07,2.094851911332576,0.0180946954887747,False
7,20,-2.0707034309452865e-08,-0.4148110478040952,0.6608589566359186,False
7,21,-2.6118655682694225e-07,-1.4927562884046863,0.9322462145006464,False
7,22,-3.6541399595080293e-07,-2.488475545545497,0.993583713906853,False
7,23,4.247901415510569e-06,1.1760567586722035,0.1197890166156638,False
7,24,-1.1494150520263702e-08,-0.046484614543352,0.5185379049075418,False
7,25,1.2639268334169174e-06,0.1367155137679451,0.4456281201538883,False
7,26,4.365876122847112e-07,0.9915749605715668,0.1607049556449721,False
7,27,-1.764879726806612e-07,-3.0039716694410403,0.998666911849884,False
7,28,7.199749234132469e-05,2.754348881698598,0.0029415598608421,False
7,29,-2.231985973821793e-07,-0.8115931518399454,0.7914854250841457,False
7,30,1.9329389999711569e-07,1.8889634192699951,0.0294513790265441,False
7,31,-4.5780051749488855e-08,-0.2354350351368734,0.5930639493627535,False
7,32,-2.036717432929436e-06,-2.1971749360592394,0.9859936400686454,False
7,33,0.0002082220307784,5.9707425233045655,1.1891627788870434e-09,True
7,34,5.068838682120713e-09,0.1972603528060952,0.421812319751681,False
7,35,-1.0177941156541692e-08,-0.7453974079631485,0.7719824183909694,False
8,8,8.100417403511528e-08,0.3420049804152492,0.3661743213612098,False
8,9,-8.939732509816167e-09,-2.2868840937941592,0.9888965374028392,False
8,10,1.1047580272816049e-07,2.2042731251867487,0.0137549366391883,False
8,11,3.887128912083426e-07,1.1687137964123535,0.1212623852004553,False
8,12,7.46618411540112e-08,1.4448590544667446,0.0742520062413133,False
8,13,0.0001333872496616,3.59787158521574,0.000160577281072,False
8,14,3.083316046925688e-09,0.2160594946038616,0.4144711457203458,False
8,15,-1.4999612663046946e-10,-0.0325066473854771,0.5129659248736745,False
8,16,2.150282853108365e-05,1.5259041352234382,0.0635201673490365,False
8,17,1.959317614819156e-07,2.077986158018511,0.0188579698908566,False
8,18,-1.234334234823109e-07,-2.421602221465174,0.992272030804823,False
8,19,-1.0780794923448413e-07,-1.6295406304049402,0.9483974059462662,False
8,20,1.2352475096122362e-06,0.4806400681070004,0.3153872626273931,False
8,21,-1.0963836949429153e-08,-0.202275027103978,0.5801487100597211,False
8,22,8.406035340158269e-05,4.164262624572825,1.5645287220790625e-05,True
8,23,-1.9028945086319027e-10,-1.7018464051948663,0.9556046770896328,False
8,24,3.335510001534203e-08,1.0438382587207753,0.1482827442999855,False
8,25,4.119045479455963e-05,2.9067641717227533,0.0018267777561144,False
8,26,-1.232016870744701e-07,-1.4551187172445366,0.9271785284713,False
8,27,-9.263794709113429e-08,-1.9612803876677949,0.9750739496585408,False
8,28,-4.386633833952658e-10,-0.0721383512647285,0.5287539466891528,False
8,29,-2.2807657984458277e-08,-0.3459410910439943,0.6353057479011801,False
8,30,3.001519246481621e-07,1.710882758987871,0.0435546122308976,False
8,31,6.105532435185523e-08,0.2253432978322755,0.4108565895168088,False
8,32,9.122230949287768e-06,4.149077639448096,1.6719617277337077e-05,True
8,33,1.700739460375189e-08,0.2751331537430862,0.391607563148583,False
8,34,8.159897646464742e-09,0.0525074539157905,0.4790622874217835,False
8,35,1.4470778353370406e-08,0.4393668510666927,0.3301988606497796,False
9,9,5.842804853273265e-07,2.004676591832536,0.0225016213872236,False
9,10,-8.049212141258978e-08,-0.8666353915931709,0.8069269244944446,False
9,11,3.2332099220155892e-09,0.1844733053653399,0.4268214734747053,False
9,12,-1.838059038306028e-09,-0.8471817721499151,0.8015509804010006,False
9,13,5.1560935077077374e-08,2.73901728645399,0.0030822943950922,False
9,14,-5.306796779791512e-08,-0.8757497940758023,0.8094147725354133,False
9,15,-6.050616718766832e-08,-0.907705115015208,0.8179806992731441,False
9,16,-4.0967169212535743e-08,-0.2387790552160958,0.5943610338830096,False
9,17,-2.719077585311425e-08,-0.4854503328711133,0.6863204232409323,False
9,18,-3.1999125127413215e-08,-1.0454283874669126,0.8520848544423587,False
9,19,-5.15868532602326e-06,-0.8666119536139019,0.8069205014589647,False
9,20,3.584340902307304e-06,1.1540340218817202,0.1242459857031672,False
9,21,-1.1891679640996244e-08,-0.2467828468792159,0.5974613287896502,False
9,22,0.0001491187140345,6.242872755661519,2.1659674097056602e-10,True
9,23,1.1278768141664841e-07,1.625774044770511,0.0520021509577448,False
9,24,-5.0167386689281563e-08,-0.1574634993674089,0.5625598824294125,False
9,25,1.957048212375412e-08,0.1891655456807927,0.4249819355539165,False
9,26,5.2758242219397295e-08,0.1728016758746008,0.4314040244406815,False
9,27,9.352837254672508e-11,0.2700933469880719,0.3935448012032484,False
9,28,-5.832541116745915e-09,-0.5790941306821201,0.7187358100945302,False
9,29,0.0005491629708558,8.935419453176221,2.0983650960309471e-19,True
9,30,2.5334347242278454e-07,3.4809897808475374,0.0002500042967447,False
9,31,-9.895482122601609e-08,-1.0768518035138848,0.8592240528884757,False
9,32,2.302411530763493e-06,0.5476871138734581,0.291954655229013,False
9,33,1.2507829296737327e-06,1.721317196140581,0.0425998647416534,False
9,34,-5.524435096049274e-07,-1.494251568648273,0.9324417713211453,False
9,35,2.7821570256492123e-05,1.8770612072588155,0.0302578853238185,False
10,10,0.0003454909019637,7.762640805829327,4.240989709452435e-15,True
10,11,-4.002170683747863e-08,-0.2779118982569307,0.6094594059903575,False
10,12,-1.9236610526718323e-08,-2.183667313417117,0.9855042341783252,False
10,13,-1.192467948385456e-06,-3.2813178325057004,0.9994830150319431,False
10,14,-5.465290797701528e-08,-2.157446181008713,0.9845120668367978,False
10,15,-1.9408225027106599e-10,-1.0837598815424656,0.8607616372959346,False
10,16,9.70402907114476e-05,4.10270661185812,2.0450930606717225e-05,True
10,17,6.0764228692278266e-05,5.199843884956654,1.0013642644043577e-07,True
10,18,8.042455192480702e-06,0.8997957397764305,0.1841167398105708,False
10,19,2.217956707184498e-09,0.0573471560458964,0.4771344479699477,False
10,20,7.138795581340673e-07,0.4978794948767803,0.309285631787668,False
